internship_id,student_id,internship_completed,internship_domain,internship_duration_months
1,1001,Yes,Testing,4
2,1002,No,NA,0
3,1003,No,NA,0
4,1004,No,NA,0
5,1005,No,NA,0
6,1006,Yes,Testing,1
7,1007,Yes,Data Analytics,4
8,1008,No,NA,0
9,1009,Yes,Testing,6
10,1010,Yes,Data Analytics,3
11,1011,Yes,AI/ML,6
12,1012,No,NA,0
13,1013,No,NA,0
14,1014,No,NA,0
15,1015,No,NA,0
16,1016,No,NA,0
17,1017,No,NA,0
18,1018,Yes,Data Analytics,4
19,1019,Yes,AI/ML,2
20,1020,Yes,Testing,6
21,1021,Yes,AI/ML,5
22,1022,Yes,Testing,4
23,1023,No,NA,0
24,1024,No,NA,0
25,1025,Yes,AI/ML,2
26,1026,Yes,Cloud,1
27,1027,Yes,Cloud,1
28,1028,Yes,Testing,3
29,1029,No,NA,0
30,1030,Yes,Cloud,1
31,1031,Yes,Testing,2
32,1032,No,NA,0
33,1033,Yes,Testing,3
34,1034,Yes,Cloud,5
35,1035,Yes,Testing,2
36,1036,Yes,Testing,3
37,1037,Yes,Data Analytics,6
38,1038,Yes,AI/ML,6
39,1039,Yes,Cloud,2
40,1040,No,NA,0
41,1041,No,NA,0
42,1042,Yes,Cloud,3
43,1043,Yes,AI/ML,6
44,1044,Yes,Data Analytics,2
45,1045,Yes,Testing,2
46,1046,No,NA,0
47,1047,No,NA,0
48,1048,No,NA,0
49,1049,No,NA,0
50,1050,Yes,Data Analytics,5
51,1051,Yes,Cloud,2
52,1052,No,NA,0
53,1053,Yes,Data Analytics,6
54,1054,No,NA,0
55,1055,Yes,AI/ML,2
56,1056,Yes,AI/ML,6
57,1057,Yes,Testing,5
58,1058,No,NA,0
59,1059,No,NA,0
60,1060,No,NA,0
61,1061,No,NA,0
62,1062,Yes,Cloud,6
63,1063,No,NA,0
64,1064,No,NA,0
65,1065,No,NA,0
66,1066,No,NA,0
67,1067,No,NA,0
68,1068,No,NA,0
69,1069,Yes,Testing,2
70,1070,Yes,AI/ML,2
71,1071,No,NA,0
72,1072,Yes,Cloud,4
73,1073,No,NA,0
74,1074,Yes,Cloud,3
75,1075,Yes,Testing,1
76,1076,No,NA,0
77,1077,No,NA,0
78,1078,No,NA,0
79,1079,Yes,Data Analytics,4
80,1080,No,NA,0
81,1081,No,NA,0
82,1082,No,NA,0
83,1083,No,NA,0
84,1084,No,NA,0
85,1085,No,NA,0
86,1086,No,NA,0
87,1087,No,NA,0
88,1088,No,NA,0
89,1089,No,NA,0
90,1090,No,NA,0
91,1091,Yes,Testing,4
92,1092,Yes,Cloud,6
93,1093,Yes,Cloud,1
94,1094,No,NA,0
95,1095,Yes,Cloud,2
96,1096,Yes,Data Analytics,1
97,1097,No,NA,0
98,1098,Yes,Testing,3
99,1099,Yes,Cloud,3
100,1100,No,NA,0
101,1101,No,NA,0
102,1102,Yes,Testing,6
103,1103,No,NA,0
104,1104,Yes,Cloud,3
105,1105,No,NA,0
106,1106,No,NA,0
107,1107,No,NA,0
108,1108,Yes,AI/ML,6
109,1109,Yes,AI/ML,2
110,1110,Yes,Testing,4
111,1111,Yes,AI/ML,6
112,1112,No,NA,0
113,1113,No,NA,0
114,1114,Yes,Cloud,2
115,1115,No,NA,0
116,1116,No,NA,0
117,1117,Yes,AI/ML,4
118,1118,Yes,Cloud,2
119,1119,Yes,Cloud,6
120,1120,Yes,AI/ML,6
121,1121,No,NA,0
122,1122,No,NA,0
123,1123,Yes,AI/ML,4
124,1124,No,NA,0
125,1125,No,NA,0
126,1126,No,NA,0
127,1127,Yes,Data Analytics,2
128,1128,Yes,Cloud,5
129,1129,No,NA,0
130,1130,No,NA,0
131,1131,Yes,AI/ML,1
132,1132,No,NA,0
133,1133,Yes,AI/ML,1
134,1134,No,NA,0
135,1135,No,NA,0
136,1136,No,NA,0
137,1137,Yes,Testing,1
138,1138,Yes,Data Analytics,6
139,1139,No,NA,0
140,1140,Yes,Testing,2
141,1141,Yes,AI/ML,3
142,1142,Yes,Testing,3
143,1143,Yes,AI/ML,1
144,1144,No,NA,0
145,1145,Yes,Testing,3
146,1146,No,NA,0
147,1147,No,NA,0
148,1148,Yes,Data Analytics,2
149,1149,No,NA,0
150,1150,No,NA,0
151,1151,Yes,AI/ML,2
152,1152,Yes,Testing,3
153,1153,No,NA,0
154,1154,No,NA,0
155,1155,Yes,Cloud,5
156,1156,Yes,AI/ML,3
157,1157,Yes,Data Analytics,2
158,1158,No,NA,0
159,1159,Yes,AI/ML,5
160,1160,Yes,Cloud,5
161,1161,No,NA,0
162,1162,No,NA,0
163,1163,No,NA,0
164,1164,Yes,Data Analytics,3
165,1165,No,NA,0
166,1166,No,NA,0
167,1167,No,NA,0
168,1168,No,NA,0
169,1169,Yes,AI/ML,2
170,1170,Yes,AI/ML,4
171,1171,No,NA,0
172,1172,Yes,Data Analytics,4
173,1173,Yes,Testing,2
174,1174,No,NA,0
175,1175,No,NA,0
176,1176,Yes,Testing,4
177,1177,No,NA,0
178,1178,Yes,Cloud,1
179,1179,Yes,Cloud,4
180,1180,No,NA,0
181,1181,Yes,Cloud,2
182,1182,Yes,AI/ML,1
183,1183,Yes,AI/ML,4
184,1184,No,NA,0
185,1185,No,NA,0
186,1186,Yes,AI/ML,1
187,1187,Yes,Cloud,1
188,1188,Yes,Cloud,6
189,1189,No,NA,0
190,1190,No,NA,0
191,1191,No,NA,0
192,1192,Yes,Data Analytics,5
193,1193,Yes,AI/ML,2
194,1194,No,NA,0
195,1195,No,NA,0
196,1196,Yes,Testing,1
197,1197,Yes,Testing,3
198,1198,Yes,AI/ML,2
199,1199,Yes,Data Analytics,6
200,1200,No,NA,0
201,1201,Yes,AI/ML,3
202,1202,Yes,Testing,6
203,1203,Yes,Testing,4
204,1204,Yes,Data Analytics,4
205,1205,No,NA,0
206,1206,No,NA,0
207,1207,Yes,Data Analytics,1
208,1208,No,NA,0
209,1209,Yes,Testing,3
210,1210,Yes,Testing,1
211,1211,Yes,AI/ML,1
212,1212,Yes,Cloud,2
213,1213,Yes,Testing,1
214,1214,Yes,Testing,1
215,1215,No,NA,0
216,1216,Yes,Cloud,3
217,1217,Yes,Testing,5
218,1218,No,NA,0
219,1219,No,NA,0
220,1220,Yes,Testing,2
221,1221,Yes,Cloud,3
222,1222,Yes,Data Analytics,4
223,1223,No,NA,0
224,1224,Yes,AI/ML,2
225,1225,No,NA,0
226,1226,Yes,Data Analytics,6
227,1227,No,NA,0
228,1228,No,NA,0
229,1229,Yes,Data Analytics,2
230,1230,No,NA,0
231,1231,No,NA,0
232,1232,No,NA,0
233,1233,Yes,Testing,3
234,1234,Yes,Cloud,6
235,1235,No,NA,0
236,1236,Yes,Cloud,2
237,1237,No,NA,0
238,1238,No,NA,0
239,1239,Yes,Cloud,1
240,1240,No,NA,0
241,1241,No,NA,0
242,1242,Yes,Data Analytics,2
