placement_id,student_id,placement_status,company_id,package_lpa,interview_score
1,1001,Placed,202,3.6,46
2,1002,Placed,203,5.0,79
3,1003,Placed,204,6.5,46
4,1004,Not Placed,,0.0,54
5,1005,Not Placed,,0.0,86
6,1006,Placed,203,7.5,50
7,1007,Placed,202,6.1,58
8,1008,Not Placed,,0.0,85
9,1009,Placed,205,5.6,40
10,1010,Not Placed,,0.0,46
11,1011,Not Placed,,0.0,51
12,1012,Not Placed,,0.0,72
13,1013,Not Placed,,0.0,84
14,1014,Placed,205,7.3,59
15,1015,Placed,202,4.5,83
16,1016,Placed,201,4.5,61
17,1017,Placed,204,4.3,40
18,1018,Placed,204,6.9,41
19,1019,Not Placed,,0.0,51
20,1020,Placed,203,10.9,50
21,1021,Not Placed,,0.0,83
22,1022,Placed,201,8.3,70
23,1023,Not Placed,,0.0,77
24,1024,Placed,201,7.4,55
25,1025,Not Placed,,0.0,70
26,1026,Placed,201,3.4,41
27,1027,Not Placed,,0.0,76
28,1028,Placed,203,10.5,73
29,1029,Placed,205,4.5,49
30,1030,Placed,201,3.9,91
31,1031,Not Placed,,0.0,87
32,1032,Placed,203,7.1,87
33,1033,Placed,203,11.9,56
34,1034,Placed,204,5.3,69
35,1035,Not Placed,,0.0,40
36,1036,Placed,203,5.7,61
37,1037,Not Placed,,0.0,73
38,1038,Placed,205,7.4,57
39,1039,Placed,205,9.6,41
40,1040,Placed,202,11.8,94
41,1041,Placed,202,8.9,49
42,1042,Placed,203,7.5,55
43,1043,Placed,205,9.7,67
44,1044,Not Placed,,0.0,63
45,1045,Not Placed,,0.0,53
46,1046,Not Placed,,0.0,87
47,1047,Placed,201,4.7,64
48,1048,Placed,201,11.7,80
49,1049,Placed,205,11.1,68
50,1050,Not Placed,,0.0,73
51,1051,Placed,202,5.4,83
52,1052,Placed,203,11.0,65
53,1053,Not Placed,,0.0,77
54,1054,Placed,204,11.5,57
55,1055,Placed,203,4.7,77
56,1056,Not Placed,,0.0,73
57,1057,Placed,203,10.5,47
58,1058,Placed,204,10.2,76
59,1059,Not Placed,,0.0,90
60,1060,Placed,203,5.6,40
61,1061,Placed,204,11.3,49
62,1062,Not Placed,,0.0,69
63,1063,Placed,202,7.7,58
64,1064,Not Placed,,0.0,79
65,1065,Placed,205,9.0,59
66,1066,Placed,204,5.6,91
67,1067,Placed,203,3.1,42
68,1068,Placed,202,5.5,77
69,1069,Placed,201,3.5,59
70,1070,Not Placed,,0.0,40
71,1071,Placed,204,6.2,93
72,1072,Placed,201,3.4,48
73,1073,Placed,203,10.9,90
74,1074,Placed,205,9.0,89
75,1075,Placed,205,4.4,45
76,1076,Not Placed,,0.0,85
77,1077,Placed,203,4.3,86
78,1078,Placed,202,6.9,45
79,1079,Not Placed,,0.0,58
80,1080,Not Placed,,0.0,54
81,1081,Placed,201,7.3,62
82,1082,Placed,202,10.3,80
83,1083,Placed,204,6.8,46
84,1084,Not Placed,,0.0,56
85,1085,Placed,203,8.4,51
86,1086,Not Placed,,0.0,76
87,1087,Not Placed,,0.0,67
88,1088,Not Placed,,0.0,83
89,1089,Placed,203,10.2,48
90,1090,Not Placed,,0.0,83
91,1091,Placed,202,5.3,66
92,1092,Placed,205,4.8,59
93,1093,Placed,201,5.7,80
94,1094,Not Placed,,0.0,69
95,1095,Placed,205,4.7,90
96,1096,Placed,204,3.9,73
97,1097,Placed,204,9.2,72
98,1098,Placed,203,7.2,67
99,1099,Placed,204,6.8,66
100,1100,Not Placed,,0.0,69
101,1101,Placed,201,11.2,41
102,1102,Placed,204,3.8,48
103,1103,Placed,205,11.2,90
104,1104,Placed,202,8.2,63
105,1105,Placed,202,8.6,76
106,1106,Placed,203,3.5,94
107,1107,Placed,204,4.1,82
108,1108,Placed,201,7.2,88
109,1109,Not Placed,,0.0,95
110,1110,Placed,205,7.1,43
111,1111,Placed,201,3.5,93
112,1112,Not Placed,,0.0,81
113,1113,Placed,201,6.0,46
114,1114,Not Placed,,0.0,92
115,1115,Placed,203,8.1,84
116,1116,Placed,203,10.8,47
117,1117,Not Placed,,0.0,87
118,1118,Placed,205,9.1,87
119,1119,Placed,201,9.3,73
120,1120,Placed,202,8.1,71
121,1121,Not Placed,,0.0,48
122,1122,Not Placed,,0.0,54
123,1123,Placed,202,5.7,59
124,1124,Placed,201,10.3,79
125,1125,Placed,202,4.0,40
126,1126,Placed,202,8.4,47
