student_id,excel_skill,sql_skill,powerbi_skill,communication_skill
1001,2,3,2,2
1002,2,3,1,2
1003,2,2,1,1
1004,2,3,2,2
1005,1,3,2,1
1006,3,3,2,2
1007,1,2,2,2
1008,3,2,3,3
1009,3,1,3,3
1010,1,3,1,2
1011,1,1,2,2
1012,3,3,3,2
1013,2,2,3,1
1014,1,1,3,3
1015,3,1,3,1
1016,2,1,2,1
1017,2,1,2,2
1018,1,2,3,1
1019,1,3,2,1
1020,3,1,3,2
1021,1,3,3,1
1022,2,1,1,1
1023,1,3,1,3
1024,1,2,2,3
1025,2,2,1,2
1026,2,1,1,3
1027,1,2,2,3
1028,3,2,1,3
1029,3,3,2,1
1030,3,3,1,3
1031,3,1,1,1
1032,2,1,1,3
1033,2,3,2,3
1034,2,1,1,1
1035,2,3,3,2
1036,3,2,1,1
1037,3,2,2,1
1038,1,1,1,2
1039,2,2,1,3
1040,1,2,3,1
1041,3,3,3,2
1042,1,3,1,1
1043,1,2,2,2
1044,1,1,2,3
1045,2,1,3,3
1046,2,3,3,1
1047,3,2,1,2
1048,1,2,2,2
1049,2,2,2,3
1050,3,3,2,1
1051,2,3,2,2
1052,2,3,3,1
1053,2,1,3,1
1054,2,1,1,1
1055,3,1,2,2
1056,3,2,1,3
1057,2,2,1,3
1058,2,3,1,2
1059,1,2,1,2
1060,2,2,3,3
1061,1,1,3,2
1062,2,3,2,3
1063,3,1,2,3
1064,3,2,3,1
1065,1,1,2,2
1066,3,3,3,1
1067,3,2,3,3
1068,3,3,2,3
1069,3,2,2,2
1070,3,2,3,2
1071,1,2,3,3
1072,2,3,3,3
1073,2,1,3,3
1074,2,3,3,1
1075,3,2,2,1
1076,3,3,2,1
1077,2,3,2,3
1078,3,3,3,2
1079,2,2,1,2
1080,1,3,2,1
1081,2,3,1,3
1082,3,1,2,1
1083,2,1,1,3
1084,2,3,2,3
1085,3,3,2,2
1086,1,2,2,1
1087,1,2,1,2
1088,3,1,1,2
1089,2,1,2,1
1090,2,2,2,1
1091,3,1,2,2
1092,3,2,1,1
1093,3,2,3,1
1094,2,3,1,1
1095,1,3,3,1
1096,1,1,3,2
1097,1,3,2,2
1098,2,3,1,2
1099,1,2,1,3
1100,2,1,3,3
1101,2,3,3,1
1102,3,1,3,1
1103,2,2,1,2
1104,3,3,1,2
1105,2,2,1,2
1106,3,3,1,3
1107,3,1,1,2
1108,2,2,2,3
1109,2,2,3,3
1110,2,1,1,1
1111,2,2,2,2
1112,3,1,2,3
1113,3,2,2,1
1114,3,2,1,2
1115,2,2,1,3
1116,2,1,3,1
1117,1,3,3,2
1118,1,2,1,2
1119,1,1,3,2
1120,1,1,2,2
1121,3,2,2,2
1122,1,1,1,3
1123,3,1,2,3
1124,2,1,2,2
1125,3,2,3,1
1126,3,3,1,2
1127,3,1,3,2
1128,1,2,2,3
1129,1,3,1,1
1130,1,1,1,2
1131,2,1,2,3
1132,1,2,2,2
1133,1,2,1,1
1134,1,3,2,1
1135,2,3,2,3
1136,3,2,1,2
1137,1,2,1,2
1138,1,1,3,3
1139,2,1,3,1
1140,3,3,3,3
1141,1,3,2,3
1142,1,1,3,3
1143,2,1,3,1
1144,3,3,2,2
1145,1,1,2,3
1146,1,2,2,3
1147,3,2,3,3
1148,2,3,3,3
1149,2,3,1,1
1150,1,1,3,2
1151,1,1,3,2
1152,3,2,2,2
1153,2,1,2,1
1154,2,3,3,2
1155,3,3,1,2
1156,1,1,3,1
1157,1,2,2,1
1158,3,2,1,3
1159,1,1,1,2
1160,1,1,3,1
1161,1,3,3,3
1162,3,3,1,2
1163,2,3,2,2
1164,2,2,1,3
1165,2,1,2,1
1166,2,3,3,3
1167,3,2,1,1
1168,2,3,2,1
1169,3,1,2,3
