student_id,student_name,gender,department,cgpa,attendance_percentage,graduation_year
1001,Student_1001,Male,CSE,8.69,75,2025
1002,Student_1002,Male,ECE,8.67,94,2025
1003,Student_1003,Male,Civil,7.31,61,2025
1004,Student_1004,Male,ECE,6.5,98,2025
1005,Student_1005,Male,Civil,6.36,94,2025
1006,Student_1006,Female,ECE,7.43,77,2025
1007,Student_1007,Male,ECE,8.5,81,2025
1008,Student_1008,Female,ECE,6.43,81,2025
1009,Student_1009,Male,CSE,7.13,82,2025
1010,Student_1010,Female,Civil,6.64,62,2025
1011,Student_1011,Female,Civil,6.04,84,2025
1012,Student_1012,Male,Civil,6.76,83,2025
1013,Student_1013,Male,IT,5.8,74,2025
1014,Student_1014,Female,CSE,9.18,66,2025
1015,Student_1015,Female,EEE,7.45,83,2025
1016,Student_1016,Male,EEE,7.03,77,2025
1017,Student_1017,Male,Civil,8.23,94,2025
1018,Student_1018,Male,ECE,7.49,77,2025
1019,Student_1019,Male,IT,6.89,63,2025
1020,Student_1020,Male,CSE,8.96,85,2025
1021,Student_1021,Female,CSE,6.41,96,2025
1022,Student_1022,Female,ECE,8.32,85,2025
1023,Student_1023,Female,ECE,6.64,75,2025
1024,Student_1024,Female,IT,8.01,97,2025
1025,Student_1025,Female,EEE,6.44,68,2025
1026,Student_1026,Female,CSE,8.75,67,2025
1027,Student_1027,Male,IT,6.19,87,2025
1028,Student_1028,Male,Mechanical,7.14,89,2025
1029,Student_1029,Female,Civil,9.2,60,2025
1030,Student_1030,Male,IT,9.3,77,2025
1031,Student_1031,Female,CSE,6.76,70,2025
1032,Student_1032,Female,CSE,9.6,76,2025
1033,Student_1033,Male,Civil,9.42,79,2025
1034,Student_1034,Male,ECE,7.11,70,2025
1035,Student_1035,Male,Civil,6.89,61,2025
1036,Student_1036,Male,EEE,9.28,79,2025
1037,Student_1037,Male,CSE,6.54,96,2025
1038,Student_1038,Male,CSE,8.65,64,2025
1039,Student_1039,Male,ECE,8.34,95,2025
1040,Student_1040,Male,EEE,7.77,98,2025
1041,Student_1041,Female,ECE,9.49,72,2025
1042,Student_1042,Female,Mechanical,9.78,83,2025
1043,Student_1043,Female,Civil,7.44,75,2025
1044,Student_1044,Male,CSE,6.95,97,2025
